word	 tag
Un	 DET
día	 NOUN
,	 PUNCT
um	 X
,	 PUNCT
Caperu	 PROPN
...	 PUNCT
la	 DET
madre	 NOUN
de	 ADP
Caperucita	 PROPN
Roja	 PROPN
dició	 VERB
...	 PUNCT
le	 PRON
dice	 VERB
a	 ADP
Caperucita	 PROPN
Roja	 PROPN
que	 SCONJ
su	 DET
abuela	 NOUN
está	 AUX
enfermo	 ADJ
y	 CCONJ
que	 SCONJ
le	 PRON
da	 VERB
um	 X
,	 PUNCT
como	 ADP
,	 PUNCT
un	 DET
tarta	 NOUN
.	 PUNCT
Su	 DET
abuela	 NOUN
,	 PUNCT
um	 X
,	 PUNCT
como	 SCONJ
,	 PUNCT
está	 AUX
hablando	 VERB
con	 ADP
Caperucita	 PROPN
Roja	 PROPN
y	 CCONJ
como	 SCONJ
,	 PUNCT
como	 SCONJ
quiere	 VERB
un	 DET
tarta	 NOUN
o	 CCONJ
le	 PRON
está	 AUX
pidiendo	 VERB
que	 SCONJ
le	 PRON
hace	 VERB
un	 DET
tarta	 NOUN
.	 PUNCT
Y	 CCONJ
,	 PUNCT
um	 X
,	 PUNCT
he	 X
[	 PUNCT
inaudible	 ADJ
]	 PUNCT
para	 ADP
,	 PUNCT
como	 CCONJ
,	 PUNCT
darle	 VERB
cosas	 NOUN
que	 SCONJ
tiene	 VERB
en	 ADP
el	 DET
basket	 NOUN
a	 ADP
su	 DET
abuela	 NOUN
.	 PUNCT
Y	 CCONJ
su	 DET
madre	 NOUN
le	 PRON
dice	 VERB
“	 PUNCT
Do	 AUX
n’t	 PART
talk	 VERB
to	 ADP
any	 DET
strangers	 NOUN
”	 PUNCT
.	 PUNCT
Pero	 CCONJ
luego	 ADV
,	 PUNCT
uh	 INTJ
,	 PUNCT
hay	 VERB
un	 DET
,	 PUNCT
hay	 VERB
un	 DET
lobo	 NOUN
que	 SCONJ
está	 AUX
intentando	 VERB
comer	 VERB
a	 ADP
Caperucita	 PROPN
Roja	 PROPN
pero	 CCONJ
luego	 ADV
hay	 VERB
alguien	 PRON
detrás	 ADV
del	 ADP
lobo	 NOUN
con	 ADP
un	 DET
hacha	 NOUN
.	 PUNCT
Yo	 PRON
creo	 VERB
que	 SCONJ
va	 VERB
a	 ADP
cortar	 VERB
el	 DET
lobo	 NOUN
,	 PUNCT
pero	 CCONJ
no	 ADV
sé	 VERB
.	 PUNCT
Y	 CCONJ
Caperucita	 PROPN
Roja	 PROPN
,	 PUNCT
um	 INTJ
,	 PUNCT
está	 AUX
cogiendo	 VERB
flores	 NOUN
y	 CCONJ
el	 DET
lobo	 NOUN
va	 VERB
a	 ADP
la	 DET
casa	 NOUN
de	 ADP
la	 DET
abuelita	 NOUN
.	 PUNCT
Y	 CCONJ
,	 PUNCT
um	 INTJ
,	 PUNCT
y	 CCONJ
ahora	 ADV
,	 PUNCT
eh	 INTJ
,	 PUNCT
está	 AUX
comiendo	 VERB
a	 ADP
la	 DET
abuelita	 NOUN
.	 PUNCT
Y	 CCONJ
luego	 ADV
Caperucita	 PROPN
la	 DET
Roja	 PROPN
piensa	 VERB
que	 SCONJ
el	 DET
lobo	 NOUN
es	 AUX
su	 DET
abuela	 NOUN
así	 ADV
que	 CCONJ
pone	 VERB
las	 DET
flores	 NOUN
y	 CCONJ
,	 PUNCT
y	 CCONJ
los	 DET
galletes	 NOUN
y	 CCONJ
el	 DET
agua	 NOUN
lo	 PRON
[	 PUNCT
inaudible	 ADJ
]	 PUNCT
para	 ADP
el	 DET
lobo	 NOUN
.	 PUNCT
Y	 CCONJ
,	 PUNCT
y	 CCONJ
Caperucita	 PROPN
Roja	 PROPN
,	 PUNCT
um	 X
,	 PUNCT
um	 X
,	 PUNCT
uh	 INTJ
,	 PUNCT
en	 ADP
el	 DET
pasado	 ADJ
dij	 X
...	 PUNCT
dij	 X
...	 PUNCT
dice	 VERB
que	 SCONJ
“	 PUNCT
What	 DET
...	 PUNCT
how	 ADV
long	 ADJ
ears	 NOUN
you	 PRON
have	 VERB
”	 PUNCT
Y	 CCONJ
el	 DET
lobo	 NOUN
dice	 VERB
,	 PUNCT
“	 PUNCT
That	 DET
’s	 PART
so	 ADV
I	 PRON
can	 AUX
hear	 VERB
you	 PRON
better	 ADV
”	 PUNCT
.	 PUNCT
Y	 CCONJ
,	 PUNCT
um	 X
,	 PUNCT
luego	 ADV
el	 DET
,	 PUNCT
el	 DET
wolf	 NOUN
jumps	 VERB
out	 ADP
of	 ADP
bed	 NOUN
y	 CCONJ
luego	 ADV
scares	 VERB
Caperucita	 PROPN
Roja	 PROPN
and	 CCONJ
Caperucita	 PROPN
Roja	 PROPN
runs	 VERB
away	 ADV
.	 PUNCT
Y	 CCONJ
luego	 ADV
un	 DET
hunter	 NOUN
[	 PUNCT
inaudible	 ADJ
]	 PUNCT
que	 SCONJ
ha	 AUX
comido	 VERB
a	 ADP
Caperucita	 PROPN
Roja	 PROPN
.	 PUNCT
Y	 CCONJ
luego	 ADV
[	 PUNCT
inaudible	 ADJ
]	 PUNCT
el	 DET
lobo	 NOUN
y	 CCONJ
Caperucita	 PROPN
Roja	 PROPN
y	 CCONJ
la	 DET
abuelita	 NOUN
sale	 VERB
.	 PUNCT
Y	 CCONJ
el	 DET
wolf	 NOUN
está	 AUX
durmiendo	 VERB
.	 PUNCT
Y	 CCONJ
luego	 ADV
Caperucita	 PROPN
Roja	 PROPN
y	 CCONJ
el	 DET
perro	 NOUN
,	 PUNCT
como	 SCONJ
,	 PUNCT
traen	 VERB
rocas	 NOUN
.	 PUNCT
Y	 CCONJ
lo	 PRON
están	 AUX
feeding	 VERB
al	 ADP
lobo	 NOUN
.	 PUNCT
Y	 CCONJ
luego	 ADV
,	 PUNCT
y	 CCONJ
luego	 ADV
el	 DET
lobo	 NOUN
no	 ADV
puede	 AUX
andar	 VERB
y	 CCONJ
luego	 ADV
cae	 VERB
en	 ADP
el	 DET
well	 NOUN
.	 PUNCT
Y	 CCONJ
luego	 ADV
la	 DET
abuelita	 NOUN
y	 CCONJ
Caperucita	 PROPN
Roja	 PROPN
y	 CCONJ
el	 DET
hunter	 NOUN
y	 CCONJ
su	 DET
perro	 NOUN
y	 CCONJ
todos	 DET
