language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,416,786,6.106,128.733,214,736,0.291,214,736,0.291,0,0,0.0,50,0.064
eng,424,1737,13.965,124.379,528,1665,0.317,528,1665,0.317,0,0,0.0,72,0.041
eng,422,434,4.004,108.391,166,421,0.394,166,421,0.394,0,0,0.0,13,0.03
eng,419,632,6.941,91.059,212,583,0.364,212,583,0.364,0,0,0.0,49,0.078
eng,418,407,2.438,166.945,136,351,0.387,136,351,0.387,0,0,0.0,56,0.138
eng,420,620,5.899,105.103,218,583,0.374,218,583,0.374,0,0,0.0,37,0.06
eng,425,446,3.932,113.437,151,412,0.367,151,412,0.367,0,0,0.0,34,0.076
eng,417,530,6.449,82.189,166,478,0.347,166,478,0.347,0,0,0.0,52,0.098
eng,414,664,5.185,128.063,230,645,0.357,230,645,0.357,0,0,0.0,19,0.029
eng,421,244,2.976,82.001,78,221,0.353,78,221,0.353,0,0,0.0,23,0.094
eng,418,343,3.396,101.015,132,322,0.41,132,322,0.41,0,0,0.0,21,0.061
eng,423,283,5.652,50.073,115,283,0.406,115,283,0.406,0,0,0.0,0,0.0
