language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,726,226,2.459,91.901,90,217,0.415,0,0,0,90,217,0.415,9,0.04
spa,715,315,3.062,102.882,116,301,0.385,0,0,0,116,301,0.385,14,0.044
spa,701,335,4.822,69.478,139,332,0.419,0,0,0,139,332,0.419,3,0.009
spa,719,320,3.672,87.148,111,305,0.364,0,0,0,111,305,0.364,15,0.047
spa,717,372,4.951,75.135,167,372,0.449,0,0,0,167,372,0.449,0,0.0
spa,703,258,2.64,97.716,115,258,0.446,0,0,0,115,258,0.446,0,0.0
spa,706,428,4.141,103.364,159,416,0.382,0,0,0,159,416,0.382,12,0.028
spa,705,454,4.489,101.133,158,441,0.358,0,0,0,158,441,0.358,13,0.029
spa,711,487,5.722,85.117,169,449,0.376,0,0,0,169,449,0.376,38,0.078
spa,710,396,4.168,95.018,146,379,0.385,0,0,0,146,379,0.385,17,0.043
spa,704,236,3.26,72.397,96,234,0.41,0,0,0,96,234,0.41,2,0.008
spa,722,329,3.148,104.516,120,316,0.38,0,0,0,120,316,0.38,13,0.04
spa,725,371,4.67,79.439,131,343,0.382,0,0,0,131,343,0.382,28,0.075
spa,724,345,3.687,93.574,115,345,0.333,0,0,0,115,345,0.333,0,0.0
spa,721,331,2.822,117.28,130,324,0.401,0,0,0,130,324,0.401,7,0.021
spa,709,474,5.596,84.699,145,442,0.328,0,0,0,145,442,0.328,32,0.068
spa,708,203,3.004,67.581,82,198,0.414,0,0,0,82,198,0.414,5,0.025
spa,720,249,3.276,76.012,106,243,0.436,0,0,0,106,243,0.436,6,0.024
spa,718,381,3.468,109.872,139,376,0.37,0,0,0,139,376,0.37,5,0.013
spa,723,255,2.14,119.152,121,251,0.482,0,0,0,121,251,0.482,4,0.016
