language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
eng,146,178,3.817,46.638,77,164,0.47,77,164,0.47,0,0,0.0,14,0.079
eng,136,563,6.533,86.173,164,502,0.327,164,502,0.327,0,0,0.0,61,0.108
spa,150,145,6.615,21.919,36,122,0.295,3,9,0.333,33,113,0.27,23,0.159
eng,104,413,3.738,110.475,117,357,0.328,116,356,0.326,1,1,0.003,56,0.136
spa,107,284,8.329,34.098,75,251,0.299,8,12,0.667,67,239,0.267,33,0.116
eng,111,292,3.3,88.485,89,265,0.336,89,265,0.336,0,0,0.0,27,0.092
spa,129,253,4.845,52.215,91,231,0.394,0,0,0,91,231,0.394,22,0.087
spa,135,200,3.338,59.907,78,192,0.406,0,0,0,78,192,0.406,8,0.04
spa,145,185,6.735,27.47,58,157,0.369,4,4,1.0,54,153,0.344,28,0.151
eng,153,632,8.9,71.011,190,599,0.317,190,599,0.317,0,0,0.0,33,0.052
eng,126,511,10.939,46.714,228,485,0.47,228,485,0.47,0,0,0.0,26,0.051
eng,108,155,2.633,58.861,62,145,0.428,62,145,0.428,0,0,0.0,10,0.065
spa,140,134,3.1,43.225,41,125,0.328,0,0,0,41,125,0.328,9,0.067
spa,130,235,7.459,31.506,74,190,0.389,8,8,1.0,66,182,0.347,45,0.191
spa,125,284,5.184,54.786,81,244,0.332,0,0,0,81,244,0.332,40,0.141
eng,133,329,5.117,64.3,96,280,0.343,96,280,0.343,0,0,0.0,49,0.149
eng,143,460,5.467,84.146,114,385,0.296,114,385,0.296,0,0,0.0,75,0.163
spa,139,233,4.799,48.552,91,205,0.444,1,1,1.0,90,204,0.439,28,0.12
spa,149,199,4.302,46.253,60,182,0.33,0,0,0,60,182,0.33,17,0.085
eng,130,215,4.417,48.679,63,195,0.323,63,195,0.323,0,0,0.0,20,0.093
eng,140,107,2.172,49.264,46,101,0.455,46,101,0.455,0,0,0.0,6,0.056
spa,126,242,6.374,37.967,72,207,0.348,6,6,1.0,66,201,0.319,35,0.145
spa,143,456,7.108,64.154,112,387,0.289,0,0,0,112,387,0.289,69,0.151
spa,133,195,3.275,59.546,69,182,0.379,1,1,1.0,68,181,0.374,13,0.067
eng,125,201,2.209,90.999,73,189,0.386,73,189,0.386,0,0,0.0,12,0.06
eng,139,241,3.133,76.915,93,238,0.391,93,238,0.391,0,0,0.0,3,0.012
spa,136,508,6.925,73.354,159,462,0.344,0,0,0,159,462,0.344,46,0.091
spa,146,181,7.05,25.674,74,150,0.493,2,2,1.0,72,148,0.48,31,0.171
spa,104,370,4.774,77.496,114,311,0.367,27,28,0.964,87,283,0.28,59,0.159
eng,129,249,3.343,74.489,94,240,0.392,94,240,0.392,0,0,0.0,9,0.036
spa,111,136,1.419,95.814,58,121,0.479,0,0,0,58,121,0.479,15,0.11
eng,107,336,3.684,91.202,124,327,0.379,124,327,0.379,0,0,0.0,9,0.027
eng,140,120,2.006,59.83,52,110,0.473,52,110,0.473,0,0,0.0,10,0.083
eng,145,246,3.717,66.188,103,244,0.422,103,244,0.422,0,0,0.0,2,0.008
eng,135,227,2.834,80.112,86,216,0.398,86,216,0.398,0,0,0.0,11,0.048
spa,148,406,6.238,65.084,102,338,0.302,0,0,0,102,338,0.302,68,0.167
spa,138,259,4.786,54.12,86,240,0.358,0,0,0,86,240,0.358,19,0.073
eng,142,413,8.383,49.264,71,344,0.206,50,301,0.166,19,43,0.055,69,0.167
eng,132,290,6.347,45.688,74,256,0.289,74,256,0.289,0,0,0.0,34,0.117
eng,127,227,4.25,53.412,76,203,0.374,76,203,0.374,0,0,0.0,24,0.106
spa,131,658,8.747,75.227,128,500,0.256,25,39,0.641,104,461,0.208,158,0.24
spa,141,212,4.135,51.269,84,210,0.4,0,0,0,84,210,0.4,2,0.009
eng,109,258,2.8,92.143,101,250,0.404,101,250,0.404,0,0,0.0,8,0.031
eng,115,335,4.119,81.334,75,270,0.278,75,270,0.278,0,0,0.0,65,0.194
spa,103,280,4.638,60.369,90,250,0.36,1,1,1.0,89,249,0.356,30,0.107
spa,144,296,4.265,69.41,104,271,0.384,0,0,0,104,271,0.384,25,0.084
spa,134,331,5.334,62.055,89,277,0.321,1,1,1.0,88,276,0.318,54,0.163
eng,122,315,3.938,79.994,82,269,0.305,82,269,0.305,0,0,0.0,46,0.146
spa,106,224,4.922,45.506,68,178,0.382,1,11,0.091,67,167,0.376,46,0.205
spa,128,279,6.35,43.936,77,235,0.328,0,0,0,77,235,0.328,44,0.158
eng,110,322,2.867,112.326,93,288,0.323,93,288,0.323,0,0,0.0,34,0.106
