word,frequency,language
se,7,spa
fue,1,spa
de,7,spa
la,28,spa
casa,2,spa
abuela,12,spa
siguiente,10,spa
niña,7,spa
le,5,spa
decía,1,spa
a,14,spa
y,22,spa
estaba,9,spa
caminando,2,spa
hacia,1,spa
el,11,spa
bosque,2,spa
en,3,spa
cuando,1,spa
un,2,spa
lobo,8,spa
quería,1,spa
comer,1,spa
siguiéndola,1,spa
había,1,spa
una,2,spa
persona,1,spa
con,4,spa
viendo,1,spa
si,1,spa
ella,2,spa
ahí,2,spa
llegó,3,spa
o,2,spa
mamá,1,spa
primero,1,spa
comió,3,spa
finalmente,1,spa
puso,1,spa
las,1,spa
flores,1,spa
no,2,spa
sabiendo,1,spa
que,3,spa
era,3,spa
peor,1,spa
recostado,1,spa
cama,1,spa
tocar,1,spa
señalándole,1,spa
su,3,spa
mano,1,spa
como,1,spa
escondió,1,spa
nieta,1,spa
preguntando,1,spa
luego,5,spa
salió,1,spa
empezó,3,spa
seguir,1,spa
para,2,spa
comérsela,1,spa
correr,1,spa
lleno,1,spa
pues,2,spa
cazador,2,spa
perro,1,spa
escopeta,1,spa
sacó,1,spa
panza,2,spa
del,2,spa
llenaron,1,spa
cuerpo,1,spa
rocas,2,spa
coserlo,1,spa
paró,1,spa
caminar,1,spa
pensando,1,spa
pero,1,spa
llena,1,spa
dijo,2,spa
regreso,1,spa
bye,4,eng
axe,1,eng
vase,1,eng
