word,frequency,language
the,36,eng
girl,11,eng
got,2,eng
house,3,eng
and,20,eng
wanted,1,eng
some,4,eng
cake,2,eng
so,1,eng
she,2,eng
asked,1,eng
her,4,eng
grandma,9,eng
for,2,eng
left,1,eng
with,2,eng
snacks,1,eng
went,3,eng
through,1,eng
woods,1,eng
but,2,eng
a,3,eng
wolf,13,eng
was,7,eng
looking,1,eng
at,2,eng
about,2,eng
to,4,eng
eat,1,eng
when,1,eng
there,1,eng
hunter,5,eng
right,2,eng
behind,1,eng
attack,1,eng
them,1,eng
then,6,eng
picked,1,eng
up,1,eng
flowers,2,eng
inside,1,eng
looked,1,eng
back,2,eng
he,2,eng
even,1,eng
realize,2,eng
that,2,eng
in,2,eng
front,1,eng
of,1,eng
opened,1,eng
door,1,eng
scared,2,eng
acted,1,eng
as,2,eng
little,1,eng
came,2,eng
like,1,eng
what,1,eng
happened,1,eng
is,1,eng
acting,1,eng
weird,1,eng
because,2,eng
knew,1,eng
it,2,eng
not,1,eng
surprised,1,eng
heard,2,eng
I,1,eng
mean,1,eng
all,2,eng
noise,1,eng
saw,1,eng
became,1,eng
fat,1,eng
just,1,eng
relaxing,1,eng
were,2,eng
safe,1,eng
kept,1,eng
bringing,1,eng
rocks,3,eng
no,1,eng
reason,1,eng
thinks,1,eng
food,1,eng
ate,1,eng
those,1,eng
laughing,1,eng
him,1,eng
said,1,eng
goodbye,1,eng
