word,frequency,language
uhm,1,eng
girl,8,eng
was,2,eng
at,1,eng
the,21,eng
grandma,5,eng
came,1,eng
to,2,eng
visit,1,eng
left,1,eng
her,2,eng
house,2,eng
with,2,eng
cookies,2,eng
a,2,eng
fox,7,eng
started,1,eng
following,1,eng
got,2,eng
before,1,eng
scared,2,eng
bought,1,eng
flowers,1,eng
and,3,eng
cool,1,eng
elementary,1,eng
school,1,eng
thinks,1,eng
something,1,eng
off,1,eng
cop,2,eng
there,1,eng
after,1,eng
ate,1,eng
cut,1,eng
wolf,1,eng
body,1,eng
took,1,eng
out,1,eng
they,2,eng
gave,1,eng
rocks,1,eng
making,1,eng
fun,1,eng
of,2,eng
because,1,eng
his,1,eng
belly,1,eng
all,1,eng
went,1,eng
home,1,eng
