word,frequency,language
so,83,eng
there,43,eng
is,74,eng
a,523,eng
girl,180,eng
got,45,eng
who,15,eng
received,2,eng
red,30,eng
cap,2,eng
or,15,eng
cape,5,eng
was,236,eng
little,82,eng
coat,3,eng
from,15,eng
her,283,eng
grandmother,57,eng
on,52,eng
birthday,8,eng
one,12,eng
day,9,eng
she,161,eng
left,23,eng
with,79,eng
lunch,3,eng
basket,17,eng
and,655,eng
said,48,eng
goodbye,33,eng
to,340,eng
mother,14,eng
the,1153,eng
way,12,eng
walk,6,eng
almost,1,eng
eaten,11,eng
by,21,eng
big,49,eng
wolf,330,eng
but,48,eng
saved,2,eng
hunter,94,eng
while,33,eng
stayed,2,eng
picking,15,eng
flowers,62,eng
hungry,5,eng
went,75,eng
house,101,eng
ate,58,eng
dressed,5,eng
up,63,eng
as,34,eng
appear,1,eng
like,64,eng
he,187,eng
stared,1,eng
hungrily,1,eng
at,27,eng
Little,113,eng
Red,154,eng
Riding,149,eng
Hood,146,eng
placed,3,eng
table,10,eng
noticed,14,eng
something,15,eng
off,15,eng
about,15,eng
tried,24,eng
hide,3,eng
its,2,eng
face,3,eng
then,204,eng
attacked,6,eng
in,115,eng
an,11,eng
attempt,1,eng
eat,41,eng
napped,1,eng
after,23,eng
his,49,eng
meal,1,eng
came,41,eng
room,2,eng
saw,27,eng
cut,26,eng
open,25,eng
grandma,207,eng
stomache,13,eng
safely,2,eng
they,70,eng
filled,10,eng
rocks,55,eng
sew,5,eng
it,52,eng
back,25,eng
walked,21,eng
over,12,eng
well,24,eng
thinking,3,eng
full,15,eng
fell,14,eng
into,25,eng
end,9,eng
Caperucita,69,spa
Roja,38,spa
está,47,spa
en,113,spa
su,188,spa
casa,121,spa
y,640,spa
se,208,spa
ve,14,spa
que,170,spa
lista,2,spa
para,88,spa
irse,1,spa
algún,1,spa
sitio,1,spa
fue,76,spa
darle,3,spa
pastel,5,spa
abuela,242,spa
yendo,1,spa
de,203,spa
darse,1,spa
la,497,spa
comida,31,spa
un,141,spa
lobo,361,spa
quiere,9,spa
pero,48,spa
otro,4,spa
hombre,31,spa
le,87,spa
intenta,1,spa
pagar,1,spa
cuando,46,spa
paró,4,spa
coger,2,spa
flores,45,spa
el,452,spa
comió,44,spa
gracias,2,spa
no,83,spa
dio,12,spa
cuenta,7,spa
así,9,spa
ha,4,spa
dejado,1,spa
una,50,spa
mesa,12,spa
mientras,12,spa
estaba,107,spa
como,37,spa
vio,23,spa
al,53,spa
más,9,spa
cerca,5,spa
ella,45,spa
sospechó,1,spa
algo,13,spa
mal,2,spa
acercó,1,spa
sentó,1,spa
cama,31,spa
intentó,3,spa
comerse,5,spa
luego,107,spa
entró,15,spa
con,84,spa
arma,1,spa
durmiendo,4,spa
cortó,9,spa
barriga,3,spa
del,48,spa
sacó,11,spa
han,2,spa
traído,1,spa
rocas,38,spa
afuera,6,spa
las,53,spa
puesto,1,spa
