word,frequency,language
Caperucita,13,spa
Roja,11,spa
visitó,1,spa
a,13,spa
su,6,spa
abuelita,7,spa
se,6,spa
estaba,1,spa
despidiendo,2,spa
de,14,spa
mamá,2,spa
el,13,spa
cazador,3,spa
trató,2,spa
matar,1,spa
al,3,spa
lobo,10,spa
feroz,7,spa
que,7,spa
iba,1,spa
comerse,3,spa
la,11,spa
llegó,1,spa
casa,2,spa
vistió,1,spa
como,2,spa
para,2,spa
engañarla,1,spa
y,7,spa
comida,3,spa
le,4,spa
llevó,1,spa
está,4,spa
hablando,1,spa
pero,2,spa
es,1,spa
no,1,spa
da,1,spa
cara,1,spa
pronto,2,spa
queriéndose,1,spa
comer,2,spa
muy,2,spa
asustada,1,spa
echó,1,spa
correr,1,spa
entró,1,spa
con,4,spa
un,1,spa
perro,2,spa
parecer,1,spa
ya,2,spa
había,1,spa
tragado,1,spa
toda,1,spa
aquí,1,spa
están,2,spa
celebrando,1,spa
todos,1,spa
salvo,1,spa
privado,1,spa
tanta,1,spa
comió,1,spa
quiere,1,spa
dar,1,spa
rocas,1,spa
junto,1,spa
ellos,1,spa
riéndose,1,spa
carcajadas,1,spa
disfrutando,1,spa
va,2,spa
bien,1,spa
contento,1,spa
lleno,1,spa
barriga,1,spa
llena,1,spa
piedras,1,spa
ahí,1,spa
vuelta,1,spa
