word,frequency,language
Red,9,eng
Riding,9,eng
Hood,9,eng
is,1,eng
visiting,1,eng
her,6,eng
grandmother,1,eng
left,2,eng
home,1,eng
and,16,eng
waved,2,eng
to,3,eng
mother,1,eng
the,25,eng
wolf,10,eng
was,1,eng
stalking,1,eng
as,2,eng
lumberjack,1,eng
rabbit,2,eng
squirrel,2,eng
watched,5,eng
approached,2,eng
house,4,eng
made,2,eng
of,3,eng
straw,1,eng
stone,1,eng
attacked,2,eng
grandma,5,eng
in,5,eng
placed,2,eng
flowers,1,eng
a,4,eng
vase,2,eng
mice,1,eng
while,3,eng
hid,1,eng
bed,3,eng
over,2,eng
knocked,1,eng
table,1,eng
with,3,eng
candle,1,eng
hunter,6,eng
entered,1,eng
his,1,eng
dog,3,eng
waited,1,eng
him,3,eng
laid,1,eng
on,2,eng
bird,1,eng
perched,1,eng
cut,1,eng
out,1,eng
saved,1,eng
had,1,eng
walked,1,eng
rocks,1,eng
stomach,1,eng
then,1,eng
sewed,1,eng
up,1,eng
he,1,eng
went,1,eng
they,1,eng
laughed,1,eng
at,1,eng
goodbye,1,eng
chipmunks,1,eng
birds,1,eng
