word,frequency,language
afuera,1,spa
de,10,spa
la,26,spa
window,1,spa
era,9,spa
dos,2,spa
pájaros,3,spa
una,2,spa
un,20,spa
pájaro,4,spa
rojo,3,spa
y,49,spa
verde,1,spa
césped,1,spa
arbol,2,spa
en,14,spa
casa,7,spa
niña,12,spa
con,5,spa
capa,1,spa
su,8,spa
abuela,7,spa
dibujo,1,spa
hombre,8,spa
flores,2,spa
unos,1,spa
unas,1,spa
mesas,1,spa
yo,6,spa
ve,5,spa
que,12,spa
está,21,spa
cargando,1,spa
basket,1,spa
comida,1,spa
agua,2,spa
ella,5,spa
going,1,spa
mamá,1,spa
next,1,spa
to,1,spa
her,1,spa
están,5,spa
bosque,1,spa
caminando,3,spa
hay,7,spa
conejo,1,spa
ardilla,1,spa
viendo,1,spa
eran,1,spa
lobo,15,spa
estoqueando,1,spa
lumberjack,2,spa
el,27,spa
background,1,spa
muy,2,spa
enojado,1,spa
observando,1,spa
a,4,spa
topa,1,spa
próxima,4,spa
atendando,1,spa
comer,3,spa
abuelita,2,spa
escapando,1,spa
cama,5,spa
poniendo,3,spa
vaso,1,spa
galletas,1,spa
para,3,spa
ratoncitas,1,spa
escondido,1,spa
es,3,spa
esperando,1,spa
go,1,spa
over,1,spa
puedo,1,spa
puede,1,spa
ven,1,spa
suspicious,1,spa
no,3,spa
crees,1,spa
jumping,1,spa
atentando,1,spa
proceso,1,spa
él,1,spa
destruyendo,1,spa
todas,1,spa
las,2,spa
cosas,1,spa
so,1,spa
perro,4,spa
sneaking,1,spa
todos,1,spa
muchos,1,spa
animales,1,spa
como,1,spa
ardillas,1,spa
estómago,1,spa
del,2,spa
llena,2,spa
abeula,1,spa
fuera,1,spa
tiene,1,spa
tijeras,1,spa
creo,1,spa
corta,1,spa
rocas,3,spa
verte,1,spa
comí,1,spa
los,1,spa
holding,1,spa
sewing,1,spa
needles,1,spa
lleno,2,spa
hasta,2,spa
sé,1,spa
donde,1,spa
haciendo,1,spa
chiste,1,spa
porque,1,spa
se,1,spa
fue,1,spa
dijiste,1,spa
bye,2,spa
