word,frequency,language
había,2,eng
una,3,eng
vez,1,eng
niña,1,eng
llamada,1,eng
Caperucita,6,eng
Roja,4,eng
y,15,eng
que,10,eng
su,6,eng
abuelita,5,eng
le,13,eng
gustaban,1,eng
mucho,3,eng
los,1,eng
pasteles,2,eng
gustaba,1,eng
comer,1,eng
un,5,eng
día,1,eng
mamá,1,eng
dijo,3,eng
fuera,1,eng
a,5,eng
llevarle,1,eng
comida,1,eng
pero,1,eng
lobo,8,eng
feroz,1,eng
la,5,eng
siguió,1,eng
sin,1,eng
se,7,eng
diera,1,eng
cuenta,2,eng
leñador,1,eng
ahí,2,eng
él,1,eng
sí,1,eng
dio,1,eng
detuvo,1,eng
cortar,1,eng
unas,2,eng
flores,1,eng
mientras,1,eng
el,5,eng
adelantó,1,eng
comió,1,eng
disfrazó,1,eng
de,3,eng
para,6,eng
tenía,4,eng
grandes,2,eng
orejas,1,eng
preguntó,4,eng
por,3,eng
qué,3,eng
era,1,eng
escuchar,1,eng
bien,1,eng
esto,1,eng
unos,1,eng
ojos,1,eng
tan,1,eng
viera,1,eng
mejor,2,eng
grande,1,eng
boca,1,eng
respondió,1,eng
comerte,1,eng
salió,1,eng
corriendo,1,eng
cazador,1,eng
llegó,1,eng
vio,1,eng
al,2,eng
abrió,1,eng
panza,2,eng
salieron,1,eng
trajeron,1,eng
rocas,1,eng
sienta,1,eng
igual,1,eng
luego,1,eng
no,1,eng
podría,1,eng
porque,1,eng
pesaba,1,eng
sed,1,eng
cayó,1,eng
en,1,eng
pozo,1,eng
vivieron,1,eng
felices,1,eng
siempre,1,eng
fin,1,eng
