word,frequency,language
érase,1,spa
una,5,spa
vez,1,spa
niña,1,spa
que,7,spa
le,5,spa
apodaban,1,spa
Caperucita,12,spa
Roja,1,spa
ella,1,spa
siempre,1,spa
vestía,1,spa
con,5,spa
capa,1,spa
y,24,spa
gorro,1,spa
rojo,1,spa
un,9,spa
día,1,spa
llegó,2,spa
a,12,spa
casa,3,spa
de,8,spa
su,7,spa
abuela,8,spa
era,1,spa
repostera,1,spa
gustaba,1,spa
hacer,1,spa
muchos,1,spa
pasteles,1,spa
mamá,2,spa
la,14,spa
mandó,1,spa
canasta,1,spa
llena,1,spa
galletas,2,spa
vino,2,spa
uvas,2,spa
iba,2,spa
caminando,1,spa
en,4,spa
el,13,spa
bosque,2,spa
se,10,spa
encontró,1,spa
lobo,16,spa
al,5,spa
lo,2,spa
perseguía,1,spa
leñador,3,spa
hizo,3,spa
pasar,4,spa
por,4,spa
buena,1,spa
gente,1,spa
para,2,spa
engañar,1,spa
entretuvo,1,spa
recogiendo,1,spa
flores,2,spa
jugando,1,spa
los,1,spa
animales,1,spa
aprovechó,1,spa
oportunidad,1,spa
adelantarse,1,spa
abuelita,4,spa
tocó,1,spa
puerta,2,spa
amable,1,spa
cariñoso,1,spa
cuando,1,spa
abrió,1,spa
atacó,1,spa
sirvió,1,spa
las,4,spa
había,3,spa
dado,1,spa
recogido,1,spa
también,1,spa
puso,1,spa
florero,1,spa
asombrada,2,spa
poco,2,spa
sorprendida,2,spa
vio,3,spa
diferente,2,spa
ya,2,spa
estaba,2,spa
haciendo,2,spa
pronto,1,spa
saltó,1,spa
quiso,1,spa
atacar,1,spa
muy,1,spa
asustada,1,spa
salió,1,spa
corriendo,1,spa
escopeta,1,spa
entró,1,spa
comido,1,spa
después,1,spa
cazador,1,spa
este,1,spa
cortó,1,spa
sacó,1,spa
estómago,1,spa
metió,1,spa
piedras,1,spa
coser,1,spa
cayó,1,spa
pozo,1,spa
empezaron,1,spa
reír,1,spa
del,2,spa
ser,1,spa
salvada,1,spa
despidió,1,spa
