word,frequency,language
el,11,spa
cuento,1,spa
de,5,spa
Caperucita,7,spa
Roja,4,spa
era,2,spa
una,7,spa
niña,1,spa
la,9,spa
cual,1,spa
como,3,spa
su,8,spa
nombre,1,spa
indica,1,spa
tenía,1,spa
larga,1,spa
caperuza,1,spa
roja,1,spa
y,6,spa
vivía,1,spa
en,6,spa
cabaña,1,spa
a,7,spa
ella,2,spa
le,2,spa
gustaba,1,spa
cocinar,1,spa
con,5,spa
abuelita,1,spa
ricos,1,spa
pasteles,1,spa
así,1,spa
que,8,spa
un,6,spa
día,1,spa
madre,1,spa
mandó,1,spa
cesta,1,spa
algunas,2,spa
galletas,1,spa
también,3,spa
poco,1,spa
vino,1,spa
camino,2,spa
lobo,10,spa
feroz,1,spa
vio,2,spa
pero,3,spa
había,1,spa
leñador,1,spa
recogía,1,spa
flores,2,spa
para,3,spa
adornar,1,spa
los,2,spa
regalos,1,spa
abuela,5,spa
eso,1,spa
se,5,spa
adelantó,1,spa
casa,1,spa
sorpresa,1,spa
tomó,1,spa
disfrazó,1,spa
sus,1,spa
propias,1,spa
ropa,1,spa
dejó,2,spa
platos,1,spa
las,2,spa
cuanto,1,spa
volteó,1,spa
ver,1,spa
algo,2,spa
estaba,4,spa
mal,1,spa
o,1,spa
extraño,1,spa
vez,3,spa
cuestionó,1,spa
qué,3,spa
gran,3,spa
boca,1,spa
tienes,3,spa
orejas,1,spa
ojos,1,spa
no,2,spa
tuvo,1,spa
otra,1,spa
saltar,1,spa
sobre,2,spa
comérsela,1,spa
ya,1,spa
comió,1,spa
cazador,3,spa
entró,1,spa
mientras,1,spa
dormido,1,spa
pudo,1,spa
abrir,1,spa
panza,1,spa
del,2,spa
unas,1,spa
tijeras,1,spa
rescatando,1,spa
tanto,2,spa
diera,1,spa
cuenta,1,spa
buscaron,1,spa
rocas,1,spa
metieron,1,spa
estómago,1,spa
lleno,1,spa
plan,1,spa
tirarlo,1,spa
río,1,spa
cayó,1,spa
entonces,1,spa
despidieron,1,spa
