word,category,334,303,341,331,329,324,316,338,328,315,332,319,337,310,322,317,339,325,340,302,335,307,320,323,330,326,336,301,314
the,DET,30,43,20,33,0,20,20,24,0,56,17,30,25,19,15,18,41,19,32,74,44,41,33,10,0,0,15,17,38
girl,NOUN,10,15,6,8,0,6,0,4,0,12,0,1,6,0,1,5,13,0,0,14,8,12,1,0,0,0,3,0,12
was,AUX,5,8,7,5,0,4,12,0,0,3,3,4,15,1,3,4,11,5,8,3,0,4,1,10,0,0,3,5,4
dancing,VERB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
and,CCONJ,18,24,21,28,0,11,27,11,0,34,10,28,25,11,13,5,25,16,13,26,16,10,7,10,0,0,13,10,17
a,DET,7,8,9,7,0,1,9,3,0,17,5,8,18,5,4,2,6,2,4,4,9,4,1,6,0,0,3,4,7
redhead,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
there,PRON,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
was,VERB,1,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0
birds,NOUN,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1
in,ADP,3,1,0,2,0,4,4,1,0,3,3,2,2,1,3,0,2,1,6,2,5,5,2,3,0,0,0,2,4
her,PRON,9,9,8,9,0,11,6,9,0,8,12,12,6,14,5,5,5,5,12,9,6,2,6,10,0,0,6,3,6
windowsill,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bird,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
on,ADP,3,1,1,1,0,0,1,1,0,1,0,1,0,3,0,0,1,2,0,5,2,1,2,1,0,0,2,1,0
