word,category,613,612,619,609,602,601,610,605,611,604,505,608,618,607,622,614,615,623,617,621,620,616
un,DET,2,3,5,4,1,7,4,5,5,5,0,3,1,0,3,7,0,6,5,2,1,4
día,NOUN,1,1,0,1,0,2,1,1,1,2,0,1,0,0,1,2,0,1,2,1,0,0
Caperucita,PROPN,7,4,12,10,10,7,11,4,10,8,0,10,8,0,7,14,15,10,10,7,2,6
la,DET,9,3,11,12,8,11,13,3,7,10,0,4,3,0,10,6,5,10,8,7,7,6
mamá,NOUN,1,1,1,0,1,1,1,2,0,1,0,0,1,0,1,1,1,1,1,1,0,0
de,ADP,6,4,4,3,6,6,12,3,5,4,0,6,3,0,4,8,3,3,6,0,3,4
Roja,PROPN,1,1,4,7,8,1,7,3,7,1,0,1,2,0,6,12,2,10,1,5,8,3
la,PRON,6,4,1,1,0,0,4,2,1,4,0,3,3,0,3,2,2,2,3,3,2,2
mandó,VERB,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a,ADP,8,5,12,14,9,5,8,6,17,13,0,10,5,0,12,16,11,14,13,7,8,7
visitar,VERB,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
su,DET,7,5,7,4,9,4,8,6,10,4,0,9,10,0,6,16,8,5,3,3,8,7
abuela,NOUN,9,0,2,0,0,1,1,0,2,2,0,0,0,0,4,10,1,1,0,7,5,9
con,ADP,1,3,2,2,3,4,3,0,1,1,0,3,3,0,0,1,2,3,1,1,3,5
una,DET,1,2,4,2,0,4,4,5,2,4,0,0,0,0,6,3,1,2,1,2,1,4
canasta,NOUN,1,1,0,1,0,1,1,0,1,2,0,0,0,0,1,1,0,1,0,0,0,1
frutas,NOUN,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,CCONJ,20,15,20,5,9,16,15,17,16,13,0,13,16,0,25,18,18,16,19,24,10,8
vino,NOUN,3,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,4,2,0
estaba,AUX,4,0,2,0,3,2,1,0,1,2,0,0,3,0,1,4,1,3,0,0,0,3
caminando,VERB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
pero,CCONJ,2,5,1,0,2,0,2,1,1,2,0,1,3,0,2,3,0,1,2,2,0,1
luego,ADV,1,0,0,1,0,2,0,1,0,0,0,3,0,0,4,1,0,0,0,0,0,1
el,DET,12,8,13,10,8,11,14,5,13,10,0,10,12,0,10,12,20,12,10,6,18,9
lobo,NOUN,12,2,13,9,4,10,12,8,10,8,0,7,9,0,6,9,10,9,11,5,13,11
vio,VERB,3,3,3,2,0,0,0,1,1,0,0,1,2,0,2,0,0,1,1,1,0,1
siguió,VERB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cazador,NOUN,3,0,6,0,0,4,5,1,0,3,0,1,1,0,2,3,4,3,3,0,0,2
que,SCONJ,3,3,9,3,3,3,7,13,7,11,0,4,8,0,7,12,4,4,9,3,1,5
siguiendo,VERB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
entonces,ADV,5,0,0,0,0,2,6,0,0,2,0,1,0,0,8,0,0,0,2,0,0,0
decidió,VERB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
seguirlos,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se,PRON,8,6,9,3,7,9,8,7,6,10,0,9,9,0,12,14,9,12,11,11,4,9
detuvo,VERB,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
para,ADP,4,2,4,4,2,5,7,7,3,4,0,1,5,0,5,2,3,5,2,2,2,2
cortar,VERB,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
flores,NOUN,3,1,2,3,2,2,1,1,2,1,0,2,2,0,0,3,1,2,2,1,2,1
darle,VERB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ese,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regalo,NOUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mientras,SCONJ,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,3,0,1,0,0,0,1
