word,category,726,715,701,719,717,703,706,705,711,710,704,722,725,724,721,709,708,720,718,723
Caperucita,NOUN,3,1,1,0,1,1,3,0,2,0,1,1,1,1,1,2,0,0,1,0
Roja,ADJ,2,1,1,0,0,1,3,0,0,0,1,0,1,1,1,1,0,0,1,0
un,DET,4,6,8,4,8,6,4,7,7,11,6,8,4,6,5,6,3,5,10,7
día,NOUN,2,1,2,0,0,1,3,0,1,1,0,1,2,1,1,1,0,1,1,1
estaba,VERB,1,3,0,2,1,0,2,2,1,0,0,0,0,1,1,3,0,1,2,0
con,ADP,5,5,2,1,6,3,6,6,10,5,3,5,6,2,4,9,3,3,8,5
su,DET,7,6,6,18,9,6,16,11,14,10,9,6,9,11,10,13,5,12,11,8
abuela,NOUN,1,5,0,0,10,9,1,11,7,11,9,7,6,0,8,12,6,4,11,5
a,ADP,13,12,14,11,10,12,17,10,8,17,8,11,14,20,14,13,9,11,15,7
la,DET,13,14,16,6,15,12,13,37,24,15,10,12,14,13,11,20,9,4,14,6
cual,PRON,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
ambas,PRON,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
les,PRON,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
gustaban,VERB,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
los,DET,1,1,1,3,0,0,1,3,7,1,0,1,0,2,1,2,1,0,1,2
pasteles,NOUN,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1
Caperucita,PROPN,10,11,14,10,11,7,10,0,7,11,10,10,10,15,11,10,7,7,9,7
Roja,PROPN,3,8,9,1,2,1,10,0,2,2,1,1,0,11,10,5,6,2,7,4
estando,VERB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
en,ADP,4,6,7,5,9,3,3,10,6,8,3,4,5,6,6,7,5,6,8,6
casa,NOUN,3,4,4,3,3,5,7,5,2,4,4,3,4,5,2,5,3,4,9,1
mamá,NOUN,1,2,2,1,0,0,2,1,2,1,1,2,1,1,1,1,0,1,1,0
le,PRON,1,4,5,6,3,1,8,4,7,1,0,5,3,5,6,5,2,3,0,2
dio,VERB,1,2,1,1,0,2,2,0,1,0,1,0,1,4,0,2,0,2,1,0
una,DET,2,2,0,3,7,0,4,7,8,7,1,5,6,4,2,2,3,3,4,7
canasta,NOUN,1,0,1,0,1,0,0,1,2,3,1,1,1,2,1,1,2,1,0,0
de,ADP,6,14,12,9,9,15,15,20,14,13,10,9,10,13,9,20,3,12,26,5
galletas,NOUN,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,2,0,1
para,ADP,2,0,3,3,4,2,2,2,3,3,2,2,1,2,3,3,1,3,1,2
llevárselas,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abuelita,NOUN,10,6,10,13,0,0,10,0,7,0,0,4,9,15,4,1,0,5,0,1
