language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,726,227,2.459,92.308,91,218,0.417,0,0,0,91,218,0.417,9,25.222
spa,715,316,3.062,103.209,117,302,0.387,0,0,0,117,302,0.387,14,22.571
spa,701,335,4.822,69.478,139,332,0.419,0,0,0,139,332,0.419,3,111.667
spa,719,323,3.672,87.965,112,308,0.364,0,0,0,112,308,0.364,15,21.533
spa,717,372,4.951,75.135,167,372,0.449,0,0,0,167,372,0.449,0,0
spa,703,258,2.64,97.716,115,258,0.446,0,0,0,115,258,0.446,0,0
spa,706,431,4.141,104.088,160,419,0.382,0,0,0,160,419,0.382,12,35.917
spa,705,455,4.489,101.355,159,442,0.36,0,0,0,159,442,0.36,13,35.0
spa,711,493,5.722,86.166,170,455,0.374,0,0,0,170,455,0.374,38,12.974
spa,710,400,4.168,95.978,147,383,0.384,0,0,0,147,383,0.384,17,23.529
