EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	01:38:45	0	0.1000	0.8779675750640666
2	01:43:34	0	0.1000	0.6315163605303369
3	01:48:26	0	0.1000	0.593802580736403
4	01:53:19	0	0.1000	0.577190866296017
5	01:58:10	0	0.1000	0.5642774865099858
6	02:03:02	0	0.1000	0.5528272832872311
7	02:07:51	0	0.1000	0.5415436676813316
8	02:12:43	0	0.1000	0.5319883706546478
9	02:17:32	0	0.1000	0.5226185979252201
10	02:22:20	0	0.1000	0.5116693722463733
11	02:27:10	0	0.1000	0.5022104090494043
12	02:32:02	0	0.1000	0.49341607315802505
13	02:36:49	0	0.1000	0.4834567219992645
14	02:41:37	0	0.1000	0.4758733854285365
15	02:46:25	0	0.1000	0.4684562208511138
16	02:51:16	0	0.1000	0.4611051357255974
17	02:56:01	0	0.1000	0.45391875617965183
18	03:00:45	0	0.1000	0.44861932196289556
19	03:05:31	0	0.1000	0.43993838694601833
20	03:10:17	0	0.1000	0.43536379751880355
21	03:15:01	0	0.1000	0.42763761314506493
22	03:19:49	0	0.1000	0.42392467468581646
23	03:24:36	0	0.1000	0.4197621813711883
24	03:29:24	0	0.1000	0.41319327697427943
25	03:34:11	0	0.1000	0.4107836602277802
